pl_name,hostname,sy_pnum,discoverymethod,disc_year,disc_locale,disc_facility,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_orbeccen,st_teff,st_mass,st_rad,sy_dist,sy_gaiamag,ra,dec
Kepler-790 b,Kepler-790,1,Transit,2016.0,Space,Kepler,13.73469807,0.101,2.18,0.19448657,5.39,0.017,0.0,5208.0,0.84,0.8,703.168,15.1947,286.9171489,38.8722123
Kepler-791 b,Kepler-791,1,Transit,2016.0,Space,Kepler,14.5539759,0.1256,3.05,0.27210277,9.53,0.03,0.0,6383.0,1.3,1.47,1266.34,14.3687,293.5958044,39.0294267
Kepler-792 b,Kepler-792,1,Transit,2016.0,Space,Kepler,11.30119217,0.0988,1.96,0.17485949,4.5,0.0142,0.0,5971.0,1.09,1.12,1425.47,14.976,292.0068239,38.8207001
Kepler-793 b,Kepler-793,1,Transit,2016.0,Space,Kepler,4.24153639,0.0491,1.37,0.12222321,2.45,0.00771,0.0,5745.0,0.98,0.97,985.699,14.601,295.2167334,38.7744269
Kepler-794 b,Kepler-794,1,Transit,2016.0,Space,Kepler,11.13125132,0.10036,2.11,0.18824159,5.1,0.016,0.0,5839.0,1.19,1.38,931.192,13.442,288.1336793,38.9968923
Kepler-795 b,Kepler-795,1,Transit,2016.0,Space,Kepler,29.6193421,0.1803,1.68,0.14987956,3.46,0.0109,0.0,5631.0,0.94,0.96,492.122,13.3107,291.0189951,38.5455728
Kepler-796 b,Kepler-796,1,Transit,2016.0,Space,Kepler,6.40087618,0.07317,1.3,0.11597823,2.24,0.00705,0.0,5475.0,0.93,1.09,817.584,12.9866,287.3078999,39.1447097
Kepler-797 b,Kepler-797,1,Transit,2016.0,Space,Kepler,27.07237711,0.181,2.17,0.19359443,5.35,0.0168,0.0,5680.0,0.96,0.95,1315.26,14.5416,297.2089078,41.781645
Kepler-798 b,Kepler-798,1,Transit,2016.0,Space,Kepler,13.71933369,0.1174,2.39,0.21322152,6.3,0.0198,0.0,6224.0,1.19,1.29,972.274,14.1648,292.4782785,42.1422821
Kepler-799 b,Kepler-799,2,Transit,2016.0,Space,Kepler,133.4605235,0.5167,6.88,0.61379249,37.9,0.119,0.0,5681.0,0.95,0.93,1509.084,,287.1748966,44.8784754
Kepler-799 c,Kepler-799,2,Transit,2021.0,Space,Kepler,15.19419956,0.1214,2.78068551,0.24807657,8.15,0.0256,0.0,5588.0,1.031,1.593,1509.084,,287.1748966,44.8784754
Kepler-8 b,Kepler-8,1,Transit,2010.0,Space,Kepler,3.5224991,0.0474,15.871944,1.416,187.5197,0.59,0.0,6213.0,1.213,1.486,1021.87,13.5299,281.2881335,42.4510975
Kepler-80 b,Kepler-80,6,Transit,2012.0,Space,Kepler,7.05246,0.0648,2.67,0.23820145,6.93,0.02180411,0.0049,4540.0,0.73,0.678,369.451,14.7555,296.1125759,39.9787451
Kepler-80 c,Kepler-80,6,Transit,2012.0,Space,Kepler,9.52355,0.0792,2.74,0.24444643,6.74,0.02120631,0.0079,4540.0,0.73,0.678,369.451,14.7555,296.1125759,39.9787451
Kepler-80 d,Kepler-80,6,Transit,2014.0,Space,Kepler,3.07222,0.0372,1.53,0.13649746,6.75,0.02123777,0.0041,4540.0,0.73,0.678,369.451,14.7555,296.1125759,39.9787451
Kepler-80 e,Kepler-80,6,Transit,2014.0,Space,Kepler,4.64489,0.0491,1.6,0.14274244,4.13,0.01299437,0.0035,4540.0,0.73,0.678,369.451,14.7555,296.1125759,39.9787451
Kepler-80 f,Kepler-80,6,Transit,2016.0,Space,Kepler,0.9867873,0.0175,1.21,0.10794897,4459.73,14.03187979,0.186,4540.0,0.73,0.678,369.451,14.7555,296.1125759,39.9787451
Kepler-80 g,Kepler-80,6,Transit,2017.0,Space,Kepler,14.64558,,1.13,0.10081185,0.065,0.00020451,0.1303,4540.0,0.83,0.678,369.451,14.7555,296.1125759,39.9787451
